Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,35,20,25.0,3.3,8.0,.412,0.3,1.2,.233,3.0,6.7,.445,.430,0.9,1.6,.571,2.3,5.2,7.5,1.2,0.6,0.6,1.0,2.2,7.8
2,Steven Adams,C,28,MEM,45,44,25.8,2.5,4.9,.516,0.0,0.0,0,2.5,4.9,.516,.516,1.6,2.8,.571,4.3,5.0,9.3,3.0,1.0,0.6,1.5,1.7,6.7
3,Bam Adebayo,C,24,MIA,22,22,32.9,6.9,13.2,.521,0.0,0.0,.000,6.9,13.1,.522,.521,4.7,6.1,.770,2.5,7.3,9.9,3.3,1.3,0.5,3.0,3.2,18.5
4,Santi Aldama,PF,21,MEM,26,0,10.6,1.4,3.7,.381,0.2,1.5,.103,1.3,2.2,.569,.402,0.5,0.8,.600,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.5
5,LaMarcus Aldridge,C,36,BRK,33,10,22.9,5.8,10.3,.569,0.4,1.1,.333,5.5,9.2,.597,.587,1.5,1.8,.862,1.5,4.0,5.5,0.9,0.4,1.1,0.9,1.8,13.6
6,Nickeil Alexander-Walker,SG,23,NOP,43,18,26.7,4.7,12.8,.368,1.9,6.2,.307,2.8,6.6,.426,.443,1.3,1.8,.727,0.8,2.6,3.3,2.7,0.8,0.3,1.6,1.8,12.7
7,Grayson Allen,SG,26,MIL,41,40,28.1,4.1,9.6,.423,2.6,6.7,.391,1.5,3.0,.496,.558,1.0,1.2,.857,0.5,2.9,3.4,1.3,0.8,0.4,0.6,1.5,11.8
8,Jarrett Allen,C,23,CLE,40,40,32.7,6.7,9.6,.695,0.0,0.2,.125,6.6,9.4,.707,.696,2.9,4.3,.684,3.4,7.6,11.0,1.9,0.8,1.4,1.9,1.8,16.3
9,Jose Alvarado,PG,23,NOP,19,0,9.4,1.1,3.1,.356,0.4,1.5,.250,0.7,1.6,.452,.415,0.5,0.8,.667,0.3,0.6,0.9,1.5,1.0,0.1,0.2,1.1,3.1
10,Justin Anderson,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson,SF,28,IND,3,0,10.0,0.7,3.7,.182,0.3,3.0,.111,0.3,0.7,.500,.227,1.0,1.0,1.000,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson,PF,28,MEM,38,8,22.4,3.2,7.4,.436,0.7,1.9,.351,2.6,5.5,.466,.482,1.0,1.6,.661,0.9,4.4,5.3,2.6,1.1,0.6,1.1,1.5,8.2
12,Giannis Antetokounmpo,PF,27,MIL,39,39,32.7,9.9,18.7,.531,1.1,3.8,.282,8.8,14.9,.595,.560,7.7,10.8,.714,1.8,9.5,11.3,6.0,1.0,1.5,3.5,3.3,28.6
13,Thanasis Antetokounmpo,SF,29,MIL,28,5,11.9,1.4,2.9,.463,0.0,0.4,.091,1.3,2.5,.521,.470,0.5,0.9,.625,1.1,1.7,2.8,0.7,0.5,0.3,0.6,1.9,3.3
14,Carmelo Anthony,PF,37,LAL,44,3,26.8,4.6,10.5,.433,2.3,6.0,.389,2.3,4.6,.490,.543,1.9,2.4,.817,0.9,3.3,4.2,1.0,0.7,0.8,0.8,2.3,13.4
15,Cole Anthony,PG,21,ORL,34,34,33.1,6.2,15.7,.394,2.3,7.1,.329,3.9,8.6,.447,.468,3.3,4.0,.831,0.6,5.4,6.0,5.8,0.8,0.3,2.7,2.7,18.0
16,OG Anunoby,SF,24,TOR,29,29,36.7,6.9,16.0,.429,2.5,7.3,.340,4.4,8.7,.504,.506,2.4,3.1,.769,1.5,3.8,5.3,2.4,1.7,0.5,1.7,3.0,18.6
17,Trevor Ariza,SF,36,LAL,13,6,18.8,1.2,3.5,.333,0.9,2.9,.316,0.2,0.5,.429,.467,0.2,0.3,.500,0.3,3.1,3.4,1.2,0.5,0.2,0.5,0.5,3.4
